date,cases,deaths,active,recovered
2020-01-22,548,17,503,28
2020-01-23,643,18,595,30
2020-01-24,920,26,858,36
2020-01-25,1406,42,1325,39
2020-01-26,2075,56,1970,49
2020-01-27,2877,82,2737,58
2020-01-28,5509,131,5277,101
2020-01-29,6087,133,5834,120
2020-01-30,8141,171,7835,135
2020-01-31,9802,213,9375,214
2020-02-01,11891,259,11357,275
2020-02-02,16630,361,15806,463
2020-02-03,19716,425,18677,614
2020-02-04,23707,491,22373,843
2020-02-05,27440,563,25762,1115
2020-02-06,30587,633,28477,1477
2020-02-07,34110,718,31393,1999
2020-02-08,36814,805,33413,2596
2020-02-09,39829,905,35705,3219
2020-02-10,42354,1012,37424,3918
2020-02-11,44386,1112,38638,4636
2020-02-12,44759,1117,38560,5082
2020-02-13,59895,1369,52309,6217
2020-02-14,66358,1521,56860,7977
2020-02-15,68413,1663,57452,9298
2020-02-16,70513,1766,57992,10755
2020-02-17,72434,1864,58108,12462
2020-02-18,74211,2003,58002,14206
2020-02-19,74619,2116,56541,15962
2020-02-20,75077,2238,54825,18014
2020-02-21,75550,2238,54608,18704
2020-02-22,77001,2443,51859,22699
2020-02-23,77022,2445,51390,23187
2020-02-24,77241,2595,49631,25015
2020-02-25,77754,2665,47413,27676
2020-02-26,78166,2717,45365,30084
2020-02-27,78600,2746,42924,32930
2020-02-28,78928,2790,39809,36329
2020-02-29,79356,2837,37199,39320
2020-03-01,79932,2872,34898,42162
2020-03-02,80136,2914,32368,44854
2020-03-03,80261,2947,29864,47450
2020-03-04,80386,2983,27402,50001
2020-03-05,80537,3015,25230,52292
2020-03-06,80690,3044,23702,53944
2020-03-07,80770,3072,22159,55539
2020-03-08,80823,3100,20335,57388
2020-03-09,80860,3123,18933,58804
2020-03-10,80887,3139,17567,60181
2020-03-11,80921,3161,16116,61644
2020-03-12,80932,3172,14859,62901
2020-03-13,80945,3180,13569,64196
2020-03-14,80977,3193,12124,65660
2020-03-15,81003,3203,10783,67017
2020-03-16,81033,3217,9906,67910
2020-03-17,81058,3230,9030,68798
2020-03-18,81102,3241,8106,69755
2020-03-19,81156,3249,7372,70535
2020-03-20,81250,3253,6731,71266
2020-03-21,81305,3259,6189,71857
2020-03-22,81435,3274,5799,72362
2020-03-23,81498,3274,5410,72814
2020-03-24,81591,3281,5030,73280
2020-03-25,81661,3285,4603,73773
2020-03-26,81782,3291,4310,74181
2020-03-27,81897,3296,3881,74720
2020-03-28,81999,3299,3600,75100
2020-03-29,82122,3304,3236,75582
2020-03-30,82198,3308,2967,75923
2020-03-31,82279,3309,2764,76206
2020-04-01,82361,3316,2640,76405
2020-04-02,82432,3322,2545,76565
2020-04-03,82511,3326,2425,76760
2020-04-04,82543,3330,2267,76946
2020-04-05,82602,3333,2062,77207
2020-04-06,82665,3335,2020,77310
2020-04-07,82718,3335,1973,77410
2020-04-08,82809,3337,1905,77567
2020-04-09,82883,3339,1865,77679
2020-04-10,82941,3340,1810,77791
2020-04-11,83014,3343,1794,77877
2020-04-12,83134,3343,1835,77956
2020-04-13,83213,3345,1829,78039
2020-04-14,83306,3345,1761,78200
2020-04-15,83356,3346,1699,78311
2020-04-16,83403,3346,1656,78401
2020-04-17,83760,4636,1572,77552
2020-04-18,83787,4636,1537,77614
2020-04-19,83805,4636,1479,77690
2020-04-20,83817,4636,1436,77745
2020-04-21,83853,4636,1418,77799
2020-04-22,83868,4636,1371,77861
2020-04-23,83884,4636,1265,77983
2020-04-24,83899,4636,1154,78109
2020-04-25,83909,4636,1098,78175
2020-04-26,83912,4637,998,78277
2020-04-27,83918,4637,907,78374
2020-04-28,83940,4637,881,78422
2020-04-29,83944,4637,833,78474
2020-04-30,83956,4637,796,78523
2020-05-01,83959,4637,749,78573
2020-05-02,83959,4637,736,78586
2020-05-03,83964,4637,643,78684
2020-05-04,83966,4637,537,78792
2020-05-05,83968,4637,461,78870
2020-05-06,83970,4637,404,78929
2020-05-07,83975,4637,361,78977
2020-05-08,83976,4637,346,78993
2020-05-09,83990,4637,226,79127
2020-05-10,84010,4637,206,79167
2020-05-11,84011,4637,176,79198
2020-05-12,84018,4637,159,79222
2020-05-13,84024,4637,141,79246
2020-05-14,84029,4637,131,79261
2020-05-15,84038,4637,120,79281
2020-05-16,84044,4638,113,79293
2020-05-17,84054,4638,110,79306
2020-05-18,84063,4638,115,79310
2020-05-19,84063,4638,115,79310
2020-05-20,84063,4638,115,79310
2020-05-21,84063,4638,115,79310
2020-05-22,84081,4638,111,79332
2020-05-23,84084,4638,111,79335
2020-05-24,84095,4638,114,79343
2020-05-25,84102,4638,112,79352
2020-05-26,84103,4638,107,79358
2020-05-27,84106,4638,101,79367
2020-05-28,84106,4638,97,79371
2020-05-29,84123,4638,103,79382
2020-05-30,84128,4638,104,79386
2020-05-31,84146,4638,119,79389
2020-06-01,84154,4638,118,79398
2020-06-02,84161,4638,123,79400
2020-06-03,84160,4638,118,79404
2020-06-04,84171,4638,118,79415
2020-06-05,84177,4638,119,79420
2020-06-06,84186,4638,124,79424
2020-06-07,84191,4638,119,79434
2020-06-08,84195,4638,113,79444
2020-06-09,84198,4638,109,79451
2020-06-10,84209,4638,115,79456
2020-06-11,84216,4638,114,79464
2020-06-12,84228,4638,118,79472
2020-06-13,84286,4638,173,79475
2020-06-14,84335,4638,215,79482
2020-06-15,84378,4638,251,79489
2020-06-16,84422,4638,291,79493
2020-06-17,84458,4638,310,79510
2020-06-18,84494,4638,341,79515
2020-06-19,84494,4638,341,79515
2020-06-20,84553,4639,380,79534
2020-06-21,84572,4639,398,79535
2020-06-22,84624,4639,438,79547
2020-06-23,84653,4640,458,79555
2020-06-24,84673,4640,471,79562
2020-06-25,84701,4641,488,79572
2020-06-26,84725,4641,504,79580
2020-06-27,84743,4641,511,79591
2020-06-28,84757,4641,507,79609
2020-06-29,84780,4641,520,79619
2020-06-30,84785,4641,512,79632
2020-07-01,84816,4641,525,79650
2020-07-02,84830,4641,524,79665
2020-07-03,84838,4641,517,79680
2020-07-04,84857,4641,510,79706
2020-07-05,84871,4641,512,79718
2020-07-06,84889,4641,523,79725
2020-07-07,84917,4641,522,79754
2020-07-08,84950,4641,507,79802
2020-07-09,84992,4641,549,79802
2020-07-10,84992,4641,549,79802
2020-07-11,85071,4641,554,79876
2020-07-12,85117,4641,569,79907
2020-07-13,85117,4641,569,79907
