"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"ECEN490","Brother Fisher","Datasets","29:05","29.083333333333332","0.0"
"ECEN490","Brother Fisher","GitHub","1:45","1.75","0.0"
"ECEN490","Brother Fisher","Data Driven","9:30","9.5","0.0"
"ECEN490","Brother Fisher","Jobs","19:40","19.666666666666668","0.0"
"ECEN490","Brother Fisher","Progress Report","9:10","9.166666666666666","0.0"
"ECEN490","Brother Fisher","Tidy Tuesday","5:30","5.5","0.0"
"ECEN490","Brother Fisher","Website","5:20","5.333333333333333","0.0"
"ECEN490","Brother Fisher","Proposal","8:20","8.333333333333334","0.0"
"ECEN490","Brother Fisher","Ethics","4:05","4.083333333333333","0.0"
"ECEN490","Brother Fisher","ePortfolio/Resume","16:05","16.083333333333332","0.0"
"ECEN490","Brother Fisher","Viz","37:20","37.333333333333336","0.0"
"ECEN490","Brother Fisher","Package","8:00","8.0","0.0"
"ECEN490","Brother Fisher","Final Report","11:15","11.25","0.0"
